Knife_ID,True_Class,True_Ra,Total_Test_Appearances,Correct_Predictions,Accuracy_Rate
knife_train_Koch-A1-T1-15_cropped_Messpunkt,1,0.16,10,6,0.6
knife_train_Koch-A1-T1-18_cropped_Messpunkt,1,0.15,10,3,0.3
knife_train_Koch-A10-T10-07_cropped_Messpunkt,1,0.19,20,0,0.0
knife_train_Koch-A10-T10-08_cropped_Messpunkt,1,0.2,10,0,0.0
knife_train_Koch-A10-T10-11_cropped_Messpunkt,2,0.31,10,0,0.0
knife_train_Koch-A11-T11-09_cropped_Messpunkt,1,0.17,20,7,0.35
knife_train_Koch-A11-T11-14_cropped_Messpunkt,1,0.17,20,14,0.7
knife_train_Koch-A11-T11-16_cropped_Messpunkt,1,0.2,20,18,0.9
knife_train_Koch-A11-T11-20_cropped_Messpunkt,1,0.15,10,10,1.0
knife_train_Koch-A12-T12-08_cropped_Messpunkt,1,0.21,30,3,0.1
knife_train_Koch-A12-T12-11_cropped_Messpunkt,2,0.24,30,4,0.13333333333333333
knife_train_Koch-A13-T13-04_cropped_Messpunkt,2,0.37,30,15,0.5
knife_train_Koch-A13-T13-05_cropped_Messpunkt,2,0.34,20,15,0.75
knife_train_Koch-A13-T13-08_cropped_Messpunkt,2,0.29,10,6,0.6
knife_train_Koch-A13-T13-12_cropped_Messpunkt,2,0.27,20,13,0.65
knife_train_Koch-A13-T13-14_cropped_Messpunkt,2,0.26,20,13,0.65
knife_train_Koch-A13-T13-15_cropped_Messpunkt,2,0.25,10,4,0.4
knife_train_Koch-A13-T13-17_cropped_Messpunkt,1,0.21,20,17,0.85
knife_train_Koch-A14-T14-03_cropped_Messpunkt,2,0.3,30,19,0.6333333333333333
knife_train_Koch-A14-T14-11_cropped_Messpunkt,2,0.32,30,15,0.5
knife_train_Koch-A15-T15-07_cropped_Messpunkt,1,0.18,20,8,0.4
knife_train_Koch-A15-T15-08_cropped_Messpunkt,1,0.13,10,1,0.1
knife_train_Koch-A15-T15-09_cropped_Messpunkt,1,0.19,10,6,0.6
knife_train_Koch-A15-T15-10_cropped_Messpunkt,2,0.27,10,7,0.7
knife_train_Koch-A15-T15-14_cropped_Messpunkt,2,0.31,30,22,0.7333333333333333
knife_train_Koch-A15-T15-15_cropped_Messpunkt,1,0.18,30,20,0.6666666666666666
knife_train_Koch-A15-T15-17_cropped_Messpunkt,1,0.19,10,0,0.0
knife_train_Koch-A15-T15-19_cropped_Messpunkt,2,0.23,10,4,0.4
knife_train_Koch-A16B-T16B-03_cropped_Messpunkt,2,0.26,30,18,0.6
knife_train_Koch-A16B-T16B-07_cropped_Messpunkt,2,0.29,20,16,0.8
knife_train_Koch-A17-T17-01_cropped_Messpunkt,0,0.1,20,9,0.45
knife_train_Koch-A17-T17-06_cropped_Messpunkt,1,0.18,10,10,1.0
knife_train_Koch-A17-T17-07_cropped_Messpunkt,1,0.16,20,2,0.1
knife_train_Koch-A17-T17-19_cropped_Messpunkt,1,0.17,10,10,1.0
knife_train_Koch-A18-T18-06_cropped_Messpunkt,1,0.13,20,16,0.8
knife_train_Koch-A18-T18-08_cropped_Messpunkt,1,0.14,20,18,0.9
knife_train_Koch-A19-T19-04_cropped_Messpunkt,0,0.1,20,20,1.0
knife_train_Koch-A19-T19-11_cropped_Messpunkt,0,0.11,30,29,0.9666666666666667
knife_train_Koch-A19-T19-13_cropped_Messpunkt,0,0.11,20,3,0.15
knife_train_Koch-A19-T19-15_cropped_Messpunkt,1,0.13,20,4,0.2
knife_train_Koch-A19-T19-17_cropped_Messpunkt,0,0.1,20,8,0.4
knife_train_Koch-A2-T2-03_cropped_Messpunkt,0,0.12,20,13,0.65
